image_uri,lat,lon,date,label,split
data\tiles\tile_0000.png,19.0,72.8,2020-07-01,1,
data\tiles\tile_0001.png,19.0001,72.8001,2020-07-01,0,
data\tiles\tile_0002.png,19.0002,72.8002,2020-07-01,1,
data\tiles\tile_0003.png,19.0003,72.8003,2020-07-01,0,
data\tiles\tile_0004.png,19.0004,72.8004,2020-07-01,1,
data\tiles\tile_0005.png,19.0005,72.8005,2020-07-01,0,
data\tiles\tile_0006.png,19.0006,72.8006,2020-07-01,1,
data\tiles\tile_0007.png,19.0007,72.80069999999999,2020-07-01,0,
data\tiles\tile_0008.png,19.0008,72.8008,2020-07-01,1,
data\tiles\tile_0009.png,19.0009,72.8009,2020-07-01,0,
data\tiles\tile_0010.png,19.001,72.801,2020-07-01,1,
data\tiles\tile_0011.png,19.0011,72.80109999999999,2020-07-01,0,
data\tiles\tile_0012.png,19.0012,72.8012,2020-07-01,1,
data\tiles\tile_0013.png,19.0013,72.8013,2020-07-01,0,
data\tiles\tile_0014.png,19.0014,72.8014,2020-07-01,1,
data\tiles\tile_0015.png,19.0015,72.80149999999999,2020-07-01,0,
data\tiles\tile_0016.png,19.0016,72.8016,2020-07-01,1,
data\tiles\tile_0017.png,19.0017,72.8017,2020-07-01,0,
data\tiles\tile_0018.png,19.0018,72.8018,2020-07-01,1,
data\tiles\tile_0019.png,19.0019,72.8019,2020-07-01,0,
data\tiles\tile_0020.png,19.002,72.80199999999999,2020-07-01,1,
data\tiles\tile_0021.png,19.0021,72.8021,2020-07-01,0,
data\tiles\tile_0022.png,19.0022,72.8022,2020-07-01,1,
data\tiles\tile_0023.png,19.0023,72.8023,2020-07-01,0,
data\tiles\tile_0024.png,19.0024,72.80239999999999,2020-07-01,1,
data\tiles\tile_0025.png,19.0025,72.8025,2020-07-01,0,
data\tiles\tile_0026.png,19.0026,72.8026,2020-07-01,1,
data\tiles\tile_0027.png,19.0027,72.8027,2020-07-01,0,
data\tiles\tile_0028.png,19.0028,72.80279999999999,2020-07-01,1,
data\tiles\tile_0029.png,19.0029,72.8029,2020-07-01,0,
data\tiles\tile_0030.png,19.003,72.803,2020-07-01,1,
data\tiles\tile_0031.png,19.0031,72.8031,2020-07-01,0,
data\tiles\tile_0032.png,19.0032,72.8032,2020-07-01,1,
data\tiles\tile_0033.png,19.0033,72.8033,2020-07-01,0,
data\tiles\tile_0034.png,19.0034,72.8034,2020-07-01,1,
data\tiles\tile_0035.png,19.0035,72.8035,2020-07-01,0,
data\tiles\tile_0036.png,19.0036,72.8036,2020-07-01,1,
data\tiles\tile_0037.png,19.0037,72.80369999999999,2020-07-01,0,
data\tiles\tile_0038.png,19.0038,72.8038,2020-07-01,1,
data\tiles\tile_0039.png,19.0039,72.8039,2020-07-01,0,
data\tiles\tile_0040.png,19.004,72.804,2020-07-01,1,
data\tiles\tile_0041.png,19.0041,72.80409999999999,2020-07-01,0,
data\tiles\tile_0042.png,19.0042,72.8042,2020-07-01,1,
data\tiles\tile_0043.png,19.0043,72.8043,2020-07-01,0,
data\tiles\tile_0044.png,19.0044,72.8044,2020-07-01,1,
data\tiles\tile_0045.png,19.0045,72.80449999999999,2020-07-01,0,
data\tiles\tile_0046.png,19.0046,72.8046,2020-07-01,1,
data\tiles\tile_0047.png,19.0047,72.8047,2020-07-01,0,
data\tiles\tile_0048.png,19.0048,72.8048,2020-07-01,1,
data\tiles\tile_0049.png,19.0049,72.8049,2020-07-01,0,
